state,IN_COUNT_18_24,OUT_COUNT_18_24,POP_AGE_18_24,NET_COUNT_18_24,IN_RATE_18_24,OUT_RATE_18_24,NET_RATE_18_24,IN_COUNT_25_34,OUT_COUNT_25_34,POP_AGE_25_34,NET_COUNT_25_34,IN_RATE_25_34,OUT_RATE_25_34,NET_RATE_25_34,IN_COUNT_35_54,OUT_COUNT_35_54,POP_AGE_35_54,NET_COUNT_35_54,IN_RATE_35_54,OUT_RATE_35_54,NET_RATE_35_54,IN_COUNT_55_64,OUT_COUNT_55_64,POP_AGE_55_64,NET_COUNT_55_64,IN_RATE_55_64,OUT_RATE_55_64,NET_RATE_55_64,IN_COUNT_65_PLUS,OUT_COUNT_65_PLUS,POP_AGE_65_PLUS,NET_COUNT_65_PLUS,IN_RATE_65_PLUS,OUT_RATE_65_PLUS,NET_RATE_65_PLUS,state_name,POP,MED_RENT,MED_HOMEVAL,COST_BURDEN_ALL,VACANCY_RATE,TRANSIT_SHARE,BA_PLUS,LAND_AREA,POP_DENS,GDP,RPP,REAL_PCPI,UNEMP,PRIV_EMP,PRIV_ESTAB,PRIV_AVG_PAY,PERMITS,ELEC_PRICE_TOT,COMMUTE_MED,UNINSURED,CRIME_VIOLENT_RATE,NRI_RISK_INDEX
01,27864,21983,485435,5881,57.400063860249055,45.28515661211079,12.114907248138268,24572,23041,655347,1531,37.494640244023394,35.158473297352394,2.336166946671,24248,18842,1281732,5406,18.918151376418784,14.700420992844057,4.217730383574725,11202,6904,647816,4298,17.291947096089014,10.657347147955592,6.63459994813342,9245,7066,955166,2179,9.678945858625621,7.397667002384925,2.281278856240695,Alabama,5157699,1077,233300,25.5359965972786,7.561434375294372,0.43758695045056095,29.853581619073797,50645.33,101.83957731147176,255629.4,88.823,52216,3.1,1717475,154400,61241.33778599397,20725,11.9,22.992585563415453,8.2,359.9,82.67
02,7363,8184,68011,-821,108.26189881048654,120.33347546720384,-12.071576656717296,9463,10961,113311,-1498,83.51351589872122,96.7337681248952,-13.220252226173981,6410,8331,190818,-1921,33.592218763429024,43.659403200955886,-10.067184437526858,1384,3051,84380,-1667,16.401990993126333,36.15785731215928,-19.755866319032947,1027,3056,109415,-2029,9.386281588447654,27.930356898048714,-18.54407530960106,Alaska,740133,1444,376500,26.370851502490467,6.685146917998085,0.6795899254937386,32.754597087105665,570640.95,1.2970204819685656,55945.7,102.359,60272,4.6,253788,23333,71479.76712452913,1032,22.17,16.332883164794623,11.0,724.1,78.75
04,45570,37875,726880,7695,62.69260400616333,52.10626238168611,10.586341624477217,50663,42004,1047734,8659,48.35483051996022,40.09032827034343,8.264502249616791,44372,34311,1850112,10061,23.98341289608413,18.545363740141138,5.438049155942991,24557,17006,880749,7551,27.88195047624238,19.308565777537073,8.573384698705306,34586,22658,1491158,11928,23.194054553575143,15.194902216934759,7.999152336640383,Arizona,7582384,1672,426000,31.347722948222533,6.786212820788146,1.1360979877515311,34.73430348633038,113594.08,66.74981653973516,446968.2,100.677,52890,3.6,2814912,222682,70192.19139426028,59616,12.74,23.597950536535077,10.3,421.9,97.74
05,16833,11325,291543,5508,57.73762360955331,38.84504172626336,18.892581883289942,9582,13389,390523,-3807,24.536326925686836,34.28479244500324,-9.748465519316404,14047,12960,773267,1087,18.165782323569996,16.760058298104017,1.4057240254659775,5624,4024,372173,1600,15.111252025267818,10.812176057908554,4.299075967359266,5541,4856,562707,685,9.847042954859278,8.629713154448051,1.2173298004112265,Arkansas,3088354,982,215600,24.946140136707,5.962598002059033,0.2850755417733386,27.117317158009598,52035.48,59.35092748255613,147389.9,86.937,55219,3.5,1097701,99464,58721.44880527575,13684,9.59,19.761428791107402,9.4,579.4,76.41
06,94331,135102,3644130,-40771,25.885739531794968,37.073869483251144,-11.188129951456178,121481,158750,5708737,-37269,21.279838254941506,27.808252508391963,-6.528414253450457,81536,149312,10463439,-67776,7.792466702391059,14.269878192055213,-6.477411489664154,21431,53309,4678758,-31878,4.5804890956104165,11.393835714520819,-6.813346618910403,32962,60225,6524861,-27263,5.051755125511486,9.23008168296612,-4.178326557454634,California,39431263,2104,759500,41.215192049537755,4.257601506500651,3.297796045998231,38.12364901183692,155779.22,253.12273999060977,3306928.6,110.72,63028,5.3,15546764,1812802,92116.48331633516,101545,27.04,24.947765341423533,5.9,486.0,98.8
08,40472,43277,545685,-2805,74.16733096933213,79.30765918066284,-5.140328211330713,54339,55557,943431,-1218,57.597216966582614,58.888249379127885,-1.2910324125452737,37615,42807,1611095,-5192,23.347474854058884,26.570127770243218,-3.2226529161843342,11419,16047,670072,-4628,17.041452261846487,23.94817273367638,-6.906720471829893,14274,17400,980364,-3126,14.559898160275162,17.74850973719965,-3.1886115769244894,Colorado,5957494,1822,574600,34.30883280400921,4.5544885009052285,1.724779169542351,47.7663769613138,103641.89,57.481526050904705,448838.5,103.052,65223,4.3,2436000,246252,81425.54986247947,32185,12.07,22.89894431155406,7.9,476.3,84.99
09,20790,24318,341838,-3528,60.81828234426834,71.13896056026539,-10.32067821599705,19774,19886,468204,-112,42.233727178751145,42.47293914618414,-0.2392119674329993,18178,17981,920016,197,19.758352028660372,19.54422531782056,0.21412671083981147,6641,6398,504454,243,13.164728597652115,12.68301966086105,0.4817089367910652,6395,8685,713337,-2290,8.964907189729399,12.17517106220482,-3.210263872475422,Connecticut,3675069,1550,396900,34.62148725119998,4.278096832749124,4.01688444441599,42.56536138949529,4842.36,758.9417143706788,286160.1,103.61,74254,3.2,1459801,145501,88959.23517041022,5926,24.37,22.62298272072319,5.8,136.0,93.0
10,7876,7676,91460,200,86.11414826153509,83.92739995626503,2.1867483052700636,6737,9289,127148,-2552,52.985497215842955,73.05659546355429,-20.07109824771133,7649,3672,248517,3977,30.77857852782707,14.775649150762321,16.00292937706475,3831,2319,143222,1512,26.748683861417938,16.191646534750248,10.557037326667691,3956,2695,227824,1261,17.364281199522438,11.829306833345038,5.5349743661774005,Delaware,1051917,1530,371600,28.422959757848577,7.55671991046902,2.3464044449774155,35.99156835777161,1948.54,539.8488098781652,85350.5,99.808,55185,3.7,409731,45178,72499.77583585327,7141,13.56,22.955674919652424,6.9,360.8,93.04
12,82508,83117,1906324,-609,43.28120508371085,43.60066809209767,-0.31946300838682196,109141,113810,2925033,-4669,37.31274142890012,38.90896273648878,-1.5962213075886664,122794,118711,5898172,4083,20.818992731985436,20.126744354013415,0.6922483779720225,72392,40496,3056397,31896,23.6854047429048,13.249587668094165,10.435817074810634,94365,65190,5094353,29175,18.52345135878884,12.796521952836798,5.726929405952041,Florida,23372215,1812,396900,38.856413075284344,8.422016777842776,1.2912059812452905,35.836379912636744,53624.76,435.8474518114393,1352275.1,103.414,57131,3.4,8729175,876034,69297.92033072999,173326,12.53,26.015276588821497,10.9,267.1,95.32
13,43035,47304,1060982,-4269,40.5614798366042,44.58511077473511,-4.023630938130902,59193,57047,1526208,2146,38.784359667882754,37.378260368180484,1.4060992997022685,67536,49126,2949805,18410,22.89507272514624,16.653982212383532,6.241090512762708,19327,16416,1347149,2911,14.346594177778405,12.185734465897982,2.160859711880423,21952,19013,1765603,2939,12.433146069643062,10.768558956911605,1.6645871127314578,Georgia,11180878,1506,343300,31.483946386550958,7.714738056691026,1.2023791387200922,36.310282371374,57513.49,194.40444320106465,697450.9,96.293,52952,3.5,4183693,383400,71591.73513209501,68367,11.4,25.78604318730946,12.0,325.7,73.59
