state,IN_COUNT_18_24,OUT_COUNT_18_24,POP_AGE_18_24,NET_COUNT_18_24,IN_RATE_18_24,OUT_RATE_18_24,NET_RATE_18_24,IN_COUNT_25_34,OUT_COUNT_25_34,POP_AGE_25_34,NET_COUNT_25_34,IN_RATE_25_34,OUT_RATE_25_34,NET_RATE_25_34,IN_COUNT_35_54,OUT_COUNT_35_54,POP_AGE_35_54,NET_COUNT_35_54,IN_RATE_35_54,OUT_RATE_35_54,NET_RATE_35_54,IN_COUNT_55_64,OUT_COUNT_55_64,POP_AGE_55_64,NET_COUNT_55_64,IN_RATE_55_64,OUT_RATE_55_64,NET_RATE_55_64,IN_COUNT_65_PLUS,OUT_COUNT_65_PLUS,POP_AGE_65_PLUS,NET_COUNT_65_PLUS,IN_RATE_65_PLUS,OUT_RATE_65_PLUS,NET_RATE_65_PLUS,state_name,POP,MED_RENT,MED_HOMEVAL,COST_BURDEN_ALL,VACANCY_RATE,TRANSIT_SHARE,BA_PLUS,LAND_AREA,POP_DENS,GDP,RPP,REAL_PCPI,UNEMP,PRIV_EMP,PRIV_ESTAB,PRIV_AVG_PAY,PERMITS,ELEC_PRICE_TOT,COMMUTE_MED,UNINSURED,CRIME_VIOLENT_RATE,NRI_RISK_INDEX,abbrev,IN_SHARE_18_24,OUT_SHARE_18_24,IN_SHARE_25_34,OUT_SHARE_25_34,IN_SHARE_35_54,OUT_SHARE_35_54,IN_SHARE_55_64,OUT_SHARE_55_64,IN_SHARE_65_PLUS,OUT_SHARE_65_PLUS,IN_COUNT_ALL_AGES,OUT_COUNT_ALL_AGES,IN_SHARE_ALL_AGES,OUT_SHARE_ALL_AGES,IN_SHARE_PCT_18_24,IN_SHARE_PCT_25_34,IN_SHARE_PCT_35_54,IN_SHARE_PCT_55_64,IN_SHARE_PCT_65_PLUS,OUT_SHARE_PCT_18_24,OUT_SHARE_PCT_25_34,OUT_SHARE_PCT_35_54,OUT_SHARE_PCT_55_64,OUT_SHARE_PCT_65_PLUS,IN_SHARE_PCT_ALL_AGES,OUT_SHARE_PCT_ALL_AGES
01,27864,21983,485435,5881,57.400063860249055,45.28515661211079,12.114907248138268,24572,23041,655347,1531,37.494640244023394,35.158473297352394,2.336166946671,24248,18842,1281732,5406,18.918151376418784,14.700420992844055,4.217730383574725,11202,6904,647816,4298,17.291947096089014,10.657347147955592,6.63459994813342,9245,7066,955166,2179,9.67894585862562,7.397667002384925,2.281278856240695,Alabama,5157699,1077,233300,25.5359965972786,7.561434375294372,0.4375869504505609,29.8535816190738,50645.33,101.83957731147176,255629.4,88.823,52216,3.1,1717475,154400,61241.33778599397,20725,11.9,22.992585563415453,8.2,359.9,82.67,AL,0.01745134242059088,0.013658618418600027,0.014071368155941821,0.01321592472756244,0.01641917375965764,0.01278705034604166,0.021070570045256018,0.012999484087682499,0.014396073430096124,0.01103143788064003,97131,77836,0.016205921365467876,0.01297690578922448,1.745134242059088,1.4071368155941821,1.6419173759657641,2.107057004525602,1.4396073430096124,1.3658618418600028,1.321592472756244,1.278705034604166,1.2999484087682498,1.103143788064003,1.6205921365467877,1.297690578922448
02,7363,8184,68011,-821,108.26189881048654,120.33347546720384,-12.071576656717296,9463,10961,113311,-1498,83.51351589872122,96.7337681248952,-13.22025222617398,6410,8331,190818,-1921,33.592218763429024,43.659403200955886,-10.067184437526858,1384,3051,84380,-1667,16.401990993126333,36.15785731215928,-19.755866319032947,1027,3056,109415,-2029,9.386281588447654,27.930356898048714,-18.54407530960106,Alaska,740133,1444,376500,26.370851502490467,6.685146917998085,0.6795899254937386,32.754597087105665,570640.95,1.2970204819685656,55945.7,102.359,60272,4.6,253788,23333,71479.76712452913,1032,22.17,16.332883164794623,11.0,724.1,78.75,AK,0.004611478403775863,0.005084935319920967,0.005419068731062894,0.006287042703824135,0.0043404364813347685,0.005653800893369763,0.002603255574239808,0.005744702484287269,0.0015992176757932634,0.004771026629385215,25647,33583,0.004279100032534975,0.005598995671919494,0.4611478403775863,0.5419068731062894,0.43404364813347684,0.26032555742398084,0.15992176757932633,0.5084935319920967,0.6287042703824135,0.5653800893369764,0.574470248428727,0.47710266293852155,0.4279100032534975,0.5598995671919493
04,45570,37875,726880,7695,62.69260400616333,52.10626238168611,10.586341624477216,50663,42004,1047734,8659,48.35483051996022,40.09032827034343,8.264502249616791,44372,34311,1850112,10061,23.98341289608413,18.545363740141138,5.438049155942991,24557,17006,880749,7551,27.88195047624238,19.308565777537076,8.573384698705306,34586,22658,1491158,11928,23.194054553575143,15.19490221693476,7.999152336640383,Arizona,7582384,1672,426000,31.347722948222533,6.786212820788146,1.1360979877515311,34.73430348633038,113594.08,66.74981653973516,446968.2,100.677,52890,3.6,2814912,222682,70192.19139426028,59616,12.74,23.59795053653508,10.3,421.9,97.74,AZ,0.02854068597855033,0.023532737688417234,0.02901260478937329,0.024092778189164214,0.03004584205144873,0.023285027301933735,0.04619085775766399,0.032020455735099734,0.05385641921614976,0.03537366536930962,199748,153854,0.033327160030365975,0.025650712566104926,2.854068597855033,2.901260478937329,3.004584205144873,4.619085775766399,5.385641921614976,2.3532737688417233,2.4092778189164212,2.3285027301933736,3.2020455735099733,3.5373665369309624,3.3327160030365977,2.5650712566104925
05,16833,11325,291543,5508,57.73762360955331,38.84504172626336,18.892581883289942,9582,13389,390523,-3807,24.53632692568684,34.28479244500324,-9.748465519316404,14047,12960,773267,1087,18.16578232357,16.760058298104017,1.4057240254659775,5624,4024,372173,1600,15.111252025267818,10.812176057908554,4.299075967359266,5541,4856,562707,685,9.847042954859278,8.629713154448051,1.2173298004112263,Arkansas,3088354,982,215600,24.946140136707,5.962598002059033,0.2850755417733386,27.1173171580096,52035.48,59.35092748255613,147389.9,86.937,55219,3.5,1097701,99464,58721.44880527575,13684,9.59,19.7614287911074,9.4,579.4,76.41,AR,0.010542579922689,0.007036521566239609,0.0054872151094837425,0.007679702103959615,0.00951171782422925,0.008795253820438378,0.010578547217864654,0.0075767560789157555,0.008628301014187411,0.007581186293290119,51627,46554,0.008613759791776159,0.007761535434908737,1.0542579922689,0.5487215109483743,0.951171782422925,1.0578547217864653,0.8628301014187412,0.7036521566239609,0.7679702103959616,0.8795253820438378,0.7576756078915755,0.7581186293290119,0.8613759791776159,0.7761535434908736
06,94331,135102,3644130,-40771,25.885739531794968,37.07386948325114,-11.188129951456178,121481,158750,5708737,-37269,21.279838254941502,27.808252508391963,-6.528414253450457,81536,149312,10463439,-67776,7.792466702391059,14.269878192055211,-6.477411489664154,21431,53309,4678758,-31878,4.5804890956104165,11.39383571452082,-6.813346618910403,32962,60225,6524861,-27263,5.051755125511486,9.23008168296612,-4.178326557454634,California,39431263,2104,759500,41.21519204953776,4.257601506500651,3.297796045998231,38.12364901183692,155779.22,253.12273999060977,3306928.6,110.72,63028,5.3,15546764,1812802,92116.48331633516,101545,27.04,24.947765341423533,5.9,486.0,98.8,CA,0.05907990891030571,0.08394244032159855,0.06956714451212634,0.09105629315136222,0.055210893750719456,0.10133001068189006,0.04031096113550096,0.10037507202060636,0.05132756867526538,0.09402325875481825,351741,556698,0.05868658808218835,0.09281331901754573,5.907990891030571,6.956714451212634,5.521089375071946,4.031096113550095,5.132756867526538,8.394244032159854,9.105629315136223,10.133001068189005,10.037507202060636,9.402325875481825,5.868658808218835,9.281331901754573
08,40472,43277,545685,-2805,74.16733096933213,79.30765918066284,-5.140328211330713,54339,55557,943431,-1218,57.59721696658261,58.888249379127885,-1.2910324125452737,37615,42807,1611095,-5192,23.347474854058884,26.570127770243214,-3.2226529161843342,11419,16047,670072,-4628,17.041452261846487,23.94817273367638,-6.906720471829893,14274,17400,980364,-3126,14.559898160275162,17.74850973719965,-3.1886115769244894,Colorado,5957494,1822,574600,34.30883280400921,4.5544885009052285,1.724779169542351,47.7663769613138,103641.89,57.48152605090471,448838.5,103.052,65223,4.3,2436000,246252,81425.54986247947,32185,12.07,22.89894431155406,7.9,476.3,84.99,CO,0.02534778676594007,0.026889142942353336,0.03111769795807108,0.031866547896757365,0.0254704396638701,0.02905080480644334,0.021478739452488706,0.0302147626238472,0.02222710136735447,0.02716487675108074,158119,175088,0.02638152680798525,0.02919086901721229,2.534778676594007,3.111769795807108,2.54704396638701,2.1478739452488704,2.2227101367354467,2.6889142942353335,3.1866547896757367,2.905080480644334,3.02147626238472,2.716487675108074,2.638152680798525,2.919086901721229
09,20790,24318,341838,-3528,60.81828234426834,71.13896056026539,-10.32067821599705,19774,19886,468204,-112,42.233727178751145,42.47293914618414,-0.2392119674329993,18178,17981,920016,197,19.75835202866037,19.54422531782056,0.2141267108398114,6641,6398,504454,243,13.164728597652116,12.68301966086105,0.4817089367910652,6395,8685,713337,-2290,8.964907189729399,12.17517106220482,-3.210263872475422,Connecticut,3675069,1550,396900,34.62148725119998,4.278096832749124,4.01688444441599,42.56536138949529,4842.36,758.9417143706788,286160.1,103.61,74254,3.2,1459801,145501,88959.23517041022,5926,24.37,22.62298272072319,5.8,136.0,93.0,CT,0.013020865953347846,0.015109415580380998,0.011323751990704605,0.011406270523514894,0.012308963238331269,0.01220273602973013,0.012491488633328442,0.012046740902808897,0.00995812759172144,0.013559020378341162,71778,77268,0.011975874064619465,0.012882208188008082,1.3020865953347847,1.1323751990704605,1.230896323833127,1.2491488633328443,0.995812759172144,1.5109415580380998,1.1406270523514894,1.220273602973013,1.2046740902808897,1.3559020378341162,1.1975874064619465,1.2882208188008082
10,7876,7676,91460,200,86.11414826153509,83.92739995626503,2.186748305270064,6737,9289,127148,-2552,52.98549721584296,73.05659546355429,-20.07109824771133,7649,3672,248517,3977,30.77857852782707,14.77564915076232,16.00292937706475,3831,2319,143222,1512,26.748683861417938,16.191646534750248,10.557037326667691,3956,2695,227824,1261,17.364281199522438,11.829306833345038,5.5349743661774005,Delaware,1051917,1530,371600,28.422959757848577,7.55671991046902,2.3464044449774155,35.99156835777161,1948.54,539.8488098781652,85350.5,99.808,55185,3.7,409731,45178,72499.77583585327,7141,13.56,22.955674919652424,6.9,360.8,93.04,DE,0.004932772498728602,0.004769301504852559,0.003858001272447503,0.005328012013121284,0.005179406965012425,0.0024919885824575406,0.007205976954416694,0.004366425782059055,0.006160180258459737,0.004207433496790954,30049,25651,0.005013556239624263,0.004276563677467973,0.4932772498728602,0.3858001272447503,0.5179406965012425,0.7205976954416694,0.6160180258459736,0.4769301504852559,0.5328012013121284,0.24919885824575405,0.43664257820590546,0.4207433496790954,0.5013556239624263,0.4276563677467973
12,82508,83117,1906324,-609,43.28120508371085,43.60066809209767,-0.3194630083868219,109141,113810,2925033,-4669,37.31274142890012,38.90896273648878,-1.5962213075886664,122794,118711,5898172,4083,20.81899273198544,20.12674435401341,0.6922483779720225,72392,40496,3056397,31896,23.6854047429048,13.249587668094165,10.435817074810634,94365,65190,5094353,29175,18.52345135878884,12.796521952836798,5.726929405952041,Florida,23372215,1812,396900,38.85641307528434,8.422016777842776,1.2912059812452903,35.836379912636744,53624.76,435.8474518114393,1352275.1,103.414,57131,3.4,8729175,876034,69297.92033072999,173326,12.53,26.015276588821497,10.9,267.1,95.32,FL,0.051675113423704865,0.051642787021734,0.06250053686747706,0.06527947542397818,0.08314813686256187,0.08056276051528244,0.1361668190248325,0.07624958105660348,0.14694272246955337,0.10177461582775595,481200,421324,0.08028630778086443,0.07024361291355176,5.167511342370487,6.250053686747706,8.314813686256187,13.616681902483249,14.694272246955336,5.1642787021734,6.5279475423978175,8.056276051528243,7.624958105660348,10.177461582775594,8.028630778086443,7.024361291355176
13,43035,47304,1060982,-4269,40.5614798366042,44.58511077473511,-4.023630938130902,59193,57047,1526208,2146,38.784359667882754,37.37826036818048,1.4060992997022683,67536,49126,2949805,18410,22.89507272514624,16.653982212383532,6.241090512762708,19327,16416,1347149,2911,14.346594177778403,12.185734465897982,2.160859711880423,21952,19013,1765603,2939,12.433146069643062,10.768558956911605,1.6645871127314578,Georgia,11180878,1506,343300,31.48394638655096,7.714738056691026,1.2023791387200922,36.310282371374,57513.49,194.40444320106465,697450.9,96.293,52952,3.5,4183693,383400,71591.73513209501,68367,11.4,25.78604318730946,12.0,325.7,73.59,GA,0.026953004632146445,0.029391224385818846,0.03389738300727105,0.03272118649074495,0.04573100127978549,0.03333916969003517,0.036353410753853156,0.03090954964997044,0.034183083173333705,0.02968309204990219,211043,188906,0.03521168589567118,0.031494621576381616,2.6953004632146444,3.389738300727105,4.573100127978549,3.6353410753853157,3.4183083173333704,2.939122438581885,3.272118649074495,3.333916969003517,3.090954964997044,2.968309204990219,3.521168589567118,3.149462157638162
