state_abbr,violent_crime,population
AK,5359,740133
AL,18561,5157699
AR,17893,3088354
AZ,31991,7582384
CA,191641,39431263
CO,28378,5957493
CT,4998,3675069
DE,3795,1051917
FL,62423,23372215
GA,36420,11180878
HI,3148,1446146
IA,7885,3241488
ID,4616,2001619
IL,36756,12710158
IN,21669,6924275
KS,13033,2970606
KY,9779,4588372
LA,23900,4597740
MA,22457,7136171
MD,26330,6263220
ME,1406,1405012
MI,44043,10140459
MN,14868,5793151
MO,28857,6245466
MS,6194,2943045
MT,4816,1137233
NC,41511,11046024
ND,2026,796568
NE,4423,2005465
NH,1551,1409032
NJ,20684,9500851
NM,15276,2130256
NV,13135,3267467
NY,75528,19867248
OH,34898,11883304
OK,17316,4095393
OR,14143,4272371
PA,32123,13078751
RI,1708,1112308
SC,23927,5478831
SD,3350,924669
TN,42807,7227750
TX,121845,31290831
UT,8045,3503613
VA,19200,8811195
VT,1421,648493
WA,25950,7958180
WI,16602,5960975
WV,4404,1769979
WY,1195,587618
