dv,age_group,model_id,formula,iv_count,iv_list,adjusted_r2,r2,aic,bic,rmse,max_vif,sign_check,notes
NET_RATE_18_24,18_24,M1,NET_RATE_18_24 ~ COMMUTE_MED + MED_HOMEVAL,2,"COMMUTE_MED, MED_HOMEVAL",0.1713,0.2052,437.82,443.56,18.7317,8.7,"COMMUTE_MED(-), MED_HOMEVAL(+)",
NET_RATE_18_24,18_24,M2,NET_RATE_18_24 ~ COMMUTE_MED + MED_HOMEVAL + POP,3,"COMMUTE_MED, MED_HOMEVAL, POP",0.1595,0.2109,439.46,447.11,18.8657,9.55,"COMMUTE_MED(-), MED_HOMEVAL(+), POP(-)",
NET_RATE_18_24,18_24,M3,NET_RATE_18_24 ~ COMMUTE_MED + MED_HOMEVAL + UNINSURED,3,"COMMUTE_MED, MED_HOMEVAL, UNINSURED",0.1576,0.2092,439.57,447.22,18.8864,18.48,"COMMUTE_MED(-), MED_HOMEVAL(+), UNINSURED(-)",
NET_RATE_18_24,18_24,M4,NET_RATE_18_24 ~ COMMUTE_MED + MED_HOMEVAL + COST_BURDEN_ALL,3,"COMMUTE_MED, MED_HOMEVAL, COST_BURDEN_ALL",0.1548,0.2066,439.74,447.38,18.9178,113.71,"COMMUTE_MED(-), MED_HOMEVAL(+), COST_BURDEN_ALL(-)",
NET_RATE_18_24,18_24,M5,NET_RATE_18_24 ~ COMMUTE_MED + MED_HOMEVAL + POP + PERMITS,4,"COMMUTE_MED, MED_HOMEVAL, POP, PERMITS",0.1638,0.2321,440.1,449.66,18.817,9.63,"COMMUTE_MED(-), MED_HOMEVAL(+), POP(-), PERMITS(+)",
NET_RATE_25_34,25_34,M1,NET_RATE_25_34 ~ NRI_RISK_INDEX + PRIV_ESTAB,2,"NRI_RISK_INDEX, PRIV_ESTAB",-0.0329,0.0092,368.51,374.24,9.3657,1.83,"NRI_RISK_INDEX(+), PRIV_ESTAB(-)",
NET_RATE_25_34,25_34,M2,NET_RATE_25_34 ~ NRI_RISK_INDEX + PRIV_AVG_PAY,2,"NRI_RISK_INDEX, PRIV_AVG_PAY",-0.0347,0.0075,368.59,374.33,9.374,44.72,"NRI_RISK_INDEX(+), PRIV_AVG_PAY(-)",
NET_RATE_25_34,25_34,M3,NET_RATE_25_34 ~ NRI_RISK_INDEX + PRIV_ESTAB + PRIV_AVG_PAY,3,"NRI_RISK_INDEX, PRIV_ESTAB, PRIV_AVG_PAY",-0.0525,0.0119,370.37,378.02,9.454,45.43,"NRI_RISK_INDEX(+), PRIV_ESTAB(-), PRIV_AVG_PAY(-)",
NET_RATE_25_34,25_34,M4,NET_RATE_25_34 ~ NRI_RISK_INDEX + TRANSIT_SHARE,2,"NRI_RISK_INDEX, TRANSIT_SHARE",-0.0116,0.0297,367.46,373.2,9.2685,1.47,"NRI_RISK_INDEX(+), TRANSIT_SHARE(-)",
NET_RATE_25_34,25_34,M5,NET_RATE_25_34 ~ NRI_RISK_INDEX + PRIV_ESTAB + TRANSIT_SHARE,3,"NRI_RISK_INDEX, PRIV_ESTAB, TRANSIT_SHARE",-0.0292,0.0338,369.25,376.9,9.3487,2.06,"NRI_RISK_INDEX(+), PRIV_ESTAB(-), TRANSIT_SHARE(-)",
