dv,iv,n,spearman_rho,spearman_p,kendall_tau,kendall_p,abs_spearman_rho
IN_SHARE_18_24,PRIV_EMP,50,0.9462,0.0,0.8139,0.0,0.9462
IN_SHARE_18_24,PRIV_ESTAB,50,0.9437,0.0,0.8073,0.0,0.9437
IN_SHARE_18_24,POP,50,0.9434,0.0,0.8041,0.0,0.9434
IN_SHARE_18_24,GDP,50,0.9421,0.0,0.7992,0.0,0.9421
IN_SHARE_18_24,PERMITS,50,0.8873,0.0,0.711,0.0,0.8873
IN_SHARE_18_24,COMMUTE_MED,50,0.6032,4e-06,0.44,7e-06,0.6032
IN_SHARE_18_24,POP_DENS,50,0.5402,5.1e-05,0.4139,2.2e-05,0.5402
IN_SHARE_18_24,PRIV_AVG_PAY,50,0.5164,0.000124,0.3616,0.000211,0.5164
IN_SHARE_18_24,NRI_RISK_INDEX,50,0.4783,0.000442,0.3518,0.000312,0.4783
IN_SHARE_18_24,MED_RENT,50,0.3978,0.004225,0.2744,0.004944,0.3978
IN_SHARE_18_24,TRANSIT_SHARE,50,0.3906,0.005036,0.2539,0.009282,0.3906
IN_SHARE_18_24,COST_BURDEN_ALL,50,0.3612,0.009973,0.2473,0.011259,0.3612
IN_SHARE_18_24,UNEMP,50,0.3168,0.025001,0.2357,0.017622,0.3168
IN_SHARE_18_24,RPP,50,0.2964,0.036596,0.2065,0.034319,0.2964
IN_SHARE_18_24,BA_PLUS,50,0.2662,0.061711,0.1869,0.055422,0.2662
IN_SHARE_18_24,CRIME_VIOLENT_RATE,50,0.2417,0.090785,0.1682,0.084849,0.2417
IN_SHARE_18_24,MED_HOMEVAL,50,0.144,0.318384,0.1241,0.20355,0.144
IN_SHARE_18_24,VACANCY_RATE,50,0.1228,0.395613,0.071,0.466771,0.1228
IN_SHARE_18_24,ELEC_PRICE_TOT,50,0.1108,0.443723,0.0972,0.319499,0.1108
IN_SHARE_18_24,LAND_AREA,50,0.0748,0.605836,0.0449,0.645468,0.0748
IN_SHARE_18_24,UNINSURED,50,0.049,0.735436,0.0287,0.769588,0.049
IN_SHARE_18_24,REAL_PCPI,50,0.0364,0.801597,0.0302,0.756941,0.0364
IN_SHARE_25_34,GDP,50,0.9566,0.0,0.8155,0.0,0.9566
IN_SHARE_25_34,POP,50,0.9539,0.0,0.8204,0.0,0.9539
IN_SHARE_25_34,PRIV_ESTAB,50,0.9539,0.0,0.8171,0.0,0.9539
IN_SHARE_25_34,PRIV_EMP,50,0.9508,0.0,0.8139,0.0,0.9508
IN_SHARE_25_34,PERMITS,50,0.9035,0.0,0.7306,0.0,0.9035
IN_SHARE_25_34,COMMUTE_MED,50,0.7167,0.0,0.5249,0.0,0.7167
IN_SHARE_25_34,PRIV_AVG_PAY,50,0.5981,5e-06,0.4237,1.4e-05,0.5981
IN_SHARE_25_34,NRI_RISK_INDEX,50,0.5667,1.8e-05,0.4269,1.2e-05,0.5667
IN_SHARE_25_34,POP_DENS,50,0.5644,2e-05,0.4106,2.6e-05,0.5644
IN_SHARE_25_34,MED_RENT,50,0.5314,7.2e-05,0.3822,9e-05,0.5314
IN_SHARE_25_34,COST_BURDEN_ALL,50,0.4838,0.000372,0.3388,0.000518,0.4838
IN_SHARE_25_34,TRANSIT_SHARE,50,0.4468,0.001143,0.2931,0.002673,0.4468
IN_SHARE_25_34,RPP,50,0.4241,0.002148,0.3012,0.002024,0.4241
IN_SHARE_25_34,UNEMP,50,0.4236,0.002177,0.2973,0.002753,0.4236
IN_SHARE_25_34,BA_PLUS,50,0.3027,0.032645,0.2163,0.026644,0.3027
IN_SHARE_25_34,CRIME_VIOLENT_RATE,50,0.2671,0.060736,0.178,0.068212,0.2671
IN_SHARE_25_34,MED_HOMEVAL,50,0.2515,0.07806,0.1927,0.048362,0.2515
IN_SHARE_25_34,ELEC_PRICE_TOT,50,0.1993,0.165287,0.1544,0.113862,0.1993
IN_SHARE_25_34,VACANCY_RATE,50,0.1561,0.278985,0.0939,0.33607,0.1561
IN_SHARE_25_34,UNINSURED,50,0.1097,0.448166,0.0599,0.541243,0.1097
IN_SHARE_25_34,LAND_AREA,50,0.0767,0.596582,0.0612,0.53042,0.0767
IN_SHARE_25_34,REAL_PCPI,50,0.0338,0.815971,0.04,0.681895,0.0338
IN_SHARE_35_54,POP,50,0.9362,0.0,0.7992,0.0,0.9362
IN_SHARE_35_54,GDP,50,0.9347,0.0,0.791,0.0,0.9347
IN_SHARE_35_54,PRIV_ESTAB,50,0.9339,0.0,0.7894,0.0,0.9339
IN_SHARE_35_54,PRIV_EMP,50,0.9289,0.0,0.7829,0.0,0.9289
IN_SHARE_35_54,PERMITS,50,0.9215,0.0,0.7551,0.0,0.9215
IN_SHARE_35_54,COMMUTE_MED,50,0.7008,0.0,0.5167,0.0,0.7008
IN_SHARE_35_54,NRI_RISK_INDEX,50,0.5852,8e-06,0.4449,5e-06,0.5852
IN_SHARE_35_54,PRIV_AVG_PAY,50,0.5314,7.2e-05,0.3698,0.000151,0.5314
IN_SHARE_35_54,POP_DENS,50,0.5122,0.000143,0.3796,0.0001,0.5122
IN_SHARE_35_54,MED_RENT,50,0.4923,0.000282,0.3446,0.000415,0.4923
IN_SHARE_35_54,COST_BURDEN_ALL,50,0.4562,0.000869,0.3176,0.001138,0.4562
IN_SHARE_35_54,UNEMP,50,0.4204,0.002369,0.299,0.002605,0.4204
IN_SHARE_35_54,TRANSIT_SHARE,50,0.389,0.005238,0.2392,0.01425,0.389
IN_SHARE_35_54,RPP,50,0.3604,0.010144,0.2539,0.009282,0.3604
IN_SHARE_35_54,CRIME_VIOLENT_RATE,50,0.2814,0.04778,0.1797,0.065719,0.2814
IN_SHARE_35_54,VACANCY_RATE,50,0.2457,0.085433,0.1576,0.106437,0.2457
IN_SHARE_35_54,BA_PLUS,50,0.2107,0.141981,0.1396,0.152605,0.2107
IN_SHARE_35_54,UNINSURED,50,0.202,0.159406,0.1304,0.183299,0.202
IN_SHARE_35_54,MED_HOMEVAL,50,0.1976,0.169071,0.1388,0.155004,0.1976
IN_SHARE_35_54,ELEC_PRICE_TOT,50,0.1193,0.409129,0.0923,0.344508,0.1193
IN_SHARE_35_54,LAND_AREA,50,0.1036,0.47411,0.0792,0.417141,0.1036
IN_SHARE_35_54,REAL_PCPI,50,-0.0436,0.763426,-0.0171,0.860559,0.0436
IN_SHARE_55_64,PERMITS,50,0.9143,0.0,0.7633,0.0,0.9143
IN_SHARE_55_64,POP,50,0.9015,0.0,0.7355,0.0,0.9015
IN_SHARE_55_64,PRIV_ESTAB,50,0.8964,0.0,0.729,0.0,0.8964
IN_SHARE_55_64,PRIV_EMP,50,0.8945,0.0,0.729,0.0,0.8945
IN_SHARE_55_64,GDP,50,0.8859,0.0,0.711,0.0,0.8859
IN_SHARE_55_64,COMMUTE_MED,50,0.6959,0.0,0.5151,0.0,0.6959
IN_SHARE_55_64,NRI_RISK_INDEX,50,0.5404,5.1e-05,0.3943,5.3e-05,0.5404
IN_SHARE_55_64,POP_DENS,50,0.4923,0.000281,0.3649,0.000185,0.4923
IN_SHARE_55_64,PRIV_AVG_PAY,50,0.4676,0.000618,0.3029,0.001913,0.4676
IN_SHARE_55_64,MED_RENT,50,0.4434,0.001259,0.3071,0.001659,0.4434
IN_SHARE_55_64,COST_BURDEN_ALL,50,0.4047,0.003559,0.2767,0.004573,0.4047
IN_SHARE_55_64,UNEMP,50,0.3474,0.013445,0.2507,0.011589,0.3474
IN_SHARE_55_64,CRIME_VIOLENT_RATE,50,0.3196,0.023681,0.2205,0.023909,0.3196
IN_SHARE_55_64,TRANSIT_SHARE,50,0.3003,0.034121,0.1951,0.045587,0.3003
IN_SHARE_55_64,RPP,50,0.2971,0.036152,0.1967,0.043807,0.2971
IN_SHARE_55_64,VACANCY_RATE,50,0.2926,0.039218,0.1788,0.066966,0.2926
IN_SHARE_55_64,UNINSURED,50,0.2543,0.074781,0.1698,0.083207,0.2543
IN_SHARE_55_64,BA_PLUS,50,0.1738,0.227451,0.1151,0.238221,0.1738
IN_SHARE_55_64,MED_HOMEVAL,50,0.1445,0.316594,0.1045,0.284287,0.1445
IN_SHARE_55_64,ELEC_PRICE_TOT,50,0.1408,0.329417,0.1152,0.238188,0.1408
IN_SHARE_55_64,REAL_PCPI,50,-0.0937,0.51755,-0.0678,0.487505,0.0937
IN_SHARE_55_64,LAND_AREA,50,0.0831,0.566046,0.0678,0.487505,0.0831
IN_SHARE_65_PLUS,PERMITS,50,0.9254,0.0,0.7856,0.0,0.9254
IN_SHARE_65_PLUS,PRIV_EMP,50,0.9043,0.0,0.7448,0.0,0.9043
IN_SHARE_65_PLUS,PRIV_ESTAB,50,0.9042,0.0,0.7546,0.0,0.9042
IN_SHARE_65_PLUS,POP,50,0.9008,0.0,0.7415,0.0,0.9008
IN_SHARE_65_PLUS,GDP,50,0.8923,0.0,0.7236,0.0,0.8923
IN_SHARE_65_PLUS,COMMUTE_MED,50,0.6386,1e-06,0.4524,4e-06,0.6386
IN_SHARE_65_PLUS,NRI_RISK_INDEX,50,0.513,0.000139,0.3806,9.7e-05,0.513
IN_SHARE_65_PLUS,PRIV_AVG_PAY,50,0.4782,0.000444,0.312,0.001396,0.4782
IN_SHARE_65_PLUS,MED_RENT,50,0.4616,0.000741,0.3358,0.000586,0.4616
IN_SHARE_65_PLUS,POP_DENS,50,0.4569,0.000853,0.3479,0.000366,0.4569
IN_SHARE_65_PLUS,COST_BURDEN_ALL,50,0.4062,0.003423,0.2826,0.0038,0.4062
IN_SHARE_65_PLUS,UNEMP,50,0.3486,0.013109,0.2449,0.013671,0.3486
IN_SHARE_65_PLUS,RPP,50,0.322,0.022594,0.2254,0.020956,0.322
IN_SHARE_65_PLUS,TRANSIT_SHARE,50,0.2988,0.035058,0.1846,0.058688,0.2988
IN_SHARE_65_PLUS,CRIME_VIOLENT_RATE,50,0.2565,0.072186,0.1757,0.072087,0.2565
IN_SHARE_65_PLUS,VACANCY_RATE,50,0.2288,0.109967,0.1437,0.140949,0.2288
IN_SHARE_65_PLUS,UNINSURED,50,0.1935,0.17807,0.1264,0.197445,0.1935
IN_SHARE_65_PLUS,BA_PLUS,50,0.1907,0.184681,0.1274,0.191905,0.1907
IN_SHARE_65_PLUS,MED_HOMEVAL,50,0.1895,0.187502,0.1397,0.152576,0.1895
IN_SHARE_65_PLUS,ELEC_PRICE_TOT,50,0.1254,0.385598,0.103,0.291845,0.1254
