dv,iv,n,coef,std_err,t_value,p_value,r_squared,adj_r_squared,f_stat,f_p_value,sign
IN_SHARE_18_24,PRIV_EMP,50,0.0,0.0,15.7001,0.0,0.837,0.8336,246.4921,0.0,+
IN_SHARE_18_24,POP,50,0.0,0.0,15.4979,0.0,0.8334,0.83,240.1862,0.0,+
IN_SHARE_18_24,GDP,50,2e-08,0.0,12.8827,0.0,0.7757,0.771,165.9634,0.0,+
IN_SHARE_18_24,PRIV_ESTAB,50,4e-08,0.0,10.4786,0.0,0.6958,0.6895,109.8005,0.0,+
IN_SHARE_18_24,PERMITS,50,3e-07,3e-08,9.7125,0.0,0.6628,0.6557,94.3326,0.0,+
IN_SHARE_18_24,COMMUTE_MED,50,0.00244782,0.00051872,4.719,2.1e-05,0.3169,0.3027,22.2685,2.1e-05,+
IN_SHARE_18_24,PRIV_AVG_PAY,50,7.4e-07,1.7e-07,4.3742,6.5e-05,0.285,0.2701,19.1335,6.5e-05,+
IN_SHARE_18_24,NRI_RISK_INDEX,50,0.00057278,0.00015256,3.7544,0.000469,0.227,0.2109,14.0954,0.000469,+
IN_SHARE_18_24,COST_BURDEN_ALL,50,0.00151424,0.0004246,3.5663,0.000832,0.2095,0.193,12.7182,0.000832,+
IN_SHARE_18_24,MED_RENT,50,2.099e-05,6.3e-06,3.3294,0.001678,0.1876,0.1707,11.085,0.001678,+
IN_SHARE_18_24,TRANSIT_SHARE,50,0.00153042,0.00053699,2.85,0.006424,0.1447,0.1269,8.1225,0.006424,+
IN_SHARE_18_24,RPP,50,0.00079758,0.0003043,2.6211,0.011706,0.1252,0.107,6.87,0.011706,+
IN_SHARE_18_24,UNEMP,50,0.00601314,0.00259679,2.3156,0.024899,0.1005,0.0817,5.362,0.024899,+
IN_SHARE_18_24,BA_PLUS,50,0.000693,0.00038533,1.7984,0.078397,0.0631,0.0436,3.2344,0.078397,+
IN_SHARE_18_24,UNINSURED,50,0.00119077,0.00082861,1.4371,0.157185,0.0412,0.0213,2.0652,0.157185,+
IN_SHARE_18_24,MED_HOMEVAL,50,2e-08,1e-08,1.4123,0.16432,0.0399,0.0199,1.9945,0.16432,+
IN_SHARE_18_24,VACANCY_RATE,50,0.00158321,0.00138676,1.1417,0.259259,0.0264,0.0062,1.3034,0.259259,+
IN_SHARE_18_24,POP_DENS,50,8.14e-06,7.7e-06,1.0563,0.296117,0.0227,0.0024,1.1158,0.296117,+
IN_SHARE_18_24,CRIME_VIOLENT_RATE,50,1.224e-05,1.555e-05,0.7876,0.434821,0.0128,-0.0078,0.6203,0.434821,+
IN_SHARE_18_24,LAND_AREA,50,1e-08,3e-08,0.5385,0.592745,0.006,-0.0147,0.2899,0.592745,+
IN_SHARE_18_24,REAL_PCPI,50,1.3e-07,3.7e-07,0.341,0.734555,0.0024,-0.0184,0.1163,0.734555,+
IN_SHARE_18_24,ELEC_PRICE_TOT,50,5.497e-05,0.00037267,0.1475,0.883358,0.0005,-0.0204,0.0218,0.883358,+
IN_SHARE_25_34,POP,50,0.0,0.0,18.4585,0.0,0.8765,0.8739,340.7153,0.0,+
IN_SHARE_25_34,PRIV_EMP,50,1e-08,0.0,17.8214,0.0,0.8687,0.866,317.6018,0.0,+
IN_SHARE_25_34,GDP,50,3e-08,0.0,14.8132,0.0,0.8205,0.8168,219.4316,0.0,+
IN_SHARE_25_34,PERMITS,50,3.8e-07,3e-08,12.4634,0.0,0.7639,0.759,155.3368,0.0,+
IN_SHARE_25_34,PRIV_ESTAB,50,5e-08,0.0,11.6065,0.0,0.7373,0.7318,134.7112,0.0,+
IN_SHARE_25_34,COMMUTE_MED,50,0.00313983,0.00059206,5.3032,3e-06,0.3695,0.3563,28.1241,3e-06,+
IN_SHARE_25_34,PRIV_AVG_PAY,50,9.4e-07,2e-07,4.7932,1.6e-05,0.3237,0.3096,22.9743,1.6e-05,+
IN_SHARE_25_34,COST_BURDEN_ALL,50,0.00220194,0.00046995,4.6855,2.3e-05,0.3138,0.2995,21.9541,2.3e-05,+
IN_SHARE_25_34,MED_RENT,50,3.042e-05,7.06e-06,4.3114,8e-05,0.2792,0.2641,18.5886,8e-05,+
IN_SHARE_25_34,NRI_RISK_INDEX,50,0.00073696,0.00017658,4.1735,0.000125,0.2663,0.251,17.4178,0.000125,+
IN_SHARE_25_34,RPP,50,0.0011632,0.00034814,3.3412,0.001622,0.1887,0.1718,11.1639,0.001622,+
IN_SHARE_25_34,TRANSIT_SHARE,50,0.00174803,0.00064201,2.7228,0.008998,0.1338,0.1157,7.4134,0.008998,+
IN_SHARE_25_34,UNEMP,50,0.00818388,0.00303065,2.7004,0.009539,0.1319,0.1138,7.292,0.009539,+
IN_SHARE_25_34,UNINSURED,50,0.00204276,0.00096112,2.1254,0.038727,0.086,0.067,4.5173,0.038727,+
IN_SHARE_25_34,BA_PLUS,50,0.00090287,0.00045464,1.9859,0.05277,0.0759,0.0567,3.9439,0.05277,+
IN_SHARE_25_34,MED_HOMEVAL,50,3e-08,2e-08,1.9552,0.056398,0.0738,0.0545,3.8227,0.056398,+
IN_SHARE_25_34,VACANCY_RATE,50,0.00233371,0.00163535,1.427,0.160041,0.0407,0.0207,2.0364,0.160041,+
IN_SHARE_25_34,POP_DENS,50,1.234e-05,9.08e-06,1.3582,0.180755,0.037,0.0169,1.8447,0.180755,+
IN_SHARE_25_34,CRIME_VIOLENT_RATE,50,1.858e-05,1.839e-05,1.0103,0.317426,0.0208,0.0004,1.0207,0.317426,+
IN_SHARE_25_34,LAND_AREA,50,3e-08,3e-08,0.9287,0.357682,0.0177,-0.0028,0.8625,0.357682,+
