variable,rank_type,rank,state_name,abbrev,share,share_pct
OUT_SHARE_18_24,top,1,California,CA,0.083942,8.39
OUT_SHARE_18_24,top,2,Texas,TX,0.066236,6.62
OUT_SHARE_18_24,top,3,Florida,FL,0.051643,5.16
OUT_SHARE_18_24,top,4,New York,NY,0.050418,5.04
OUT_SHARE_18_24,top,5,Illinois,IL,0.049793,4.98
OUT_SHARE_18_24,bottom,50,Vermont,VT,0.002929,0.29
OUT_SHARE_18_24,bottom,49,Wyoming,WY,0.003047,0.3
OUT_SHARE_18_24,bottom,48,North Dakota,ND,0.003653,0.37
OUT_SHARE_18_24,bottom,47,South Dakota,SD,0.004108,0.41
OUT_SHARE_18_24,bottom,46,West Virginia,WV,0.004427,0.44
OUT_SHARE_25_34,top,1,California,CA,0.091056,9.11
OUT_SHARE_25_34,top,2,Texas,TX,0.068282,6.83
OUT_SHARE_25_34,top,3,New York,NY,0.06549,6.55
OUT_SHARE_25_34,top,4,Florida,FL,0.065279,6.53
OUT_SHARE_25_34,top,5,Virginia,VA,0.037794,3.78
OUT_SHARE_25_34,bottom,50,Wyoming,WY,0.002299,0.23
OUT_SHARE_25_34,bottom,49,Vermont,VT,0.002337,0.23
OUT_SHARE_25_34,bottom,48,North Dakota,ND,0.002941,0.29
OUT_SHARE_25_34,bottom,47,Maine,ME,0.00332,0.33
OUT_SHARE_25_34,bottom,46,South Dakota,SD,0.004304,0.43
OUT_SHARE_35_54,top,1,California,CA,0.10133,10.13
OUT_SHARE_35_54,top,2,Florida,FL,0.080563,8.06
OUT_SHARE_35_54,top,3,Texas,TX,0.071584,7.16
OUT_SHARE_35_54,top,4,New York,NY,0.063528,6.35
OUT_SHARE_35_54,top,5,Virginia,VA,0.039355,3.94
OUT_SHARE_35_54,bottom,50,Vermont,VT,0.001786,0.18
OUT_SHARE_35_54,bottom,49,Delaware,DE,0.002492,0.25
OUT_SHARE_35_54,bottom,48,North Dakota,ND,0.002586,0.26
OUT_SHARE_35_54,bottom,47,Maine,ME,0.002701,0.27
OUT_SHARE_35_54,bottom,46,Wyoming,WY,0.003095,0.31
OUT_SHARE_55_64,top,1,California,CA,0.100375,10.04
OUT_SHARE_55_64,top,2,Florida,FL,0.07625,7.62
OUT_SHARE_55_64,top,3,New York,NY,0.064434,6.44
OUT_SHARE_55_64,top,4,Texas,TX,0.06088,6.09
OUT_SHARE_55_64,top,5,Illinois,IL,0.041081,4.11
OUT_SHARE_55_64,bottom,50,North Dakota,ND,0.001544,0.15
OUT_SHARE_55_64,bottom,49,Vermont,VT,0.002154,0.22
OUT_SHARE_55_64,bottom,48,Wyoming,WY,0.003075,0.31
OUT_SHARE_55_64,bottom,47,Rhode Island,RI,0.003184,0.32
OUT_SHARE_55_64,bottom,46,Maine,ME,0.003986,0.4
OUT_SHARE_65_PLUS,top,1,Florida,FL,0.101775,10.18
OUT_SHARE_65_PLUS,top,2,California,CA,0.094023,9.4
OUT_SHARE_65_PLUS,top,3,New York,NY,0.056743,5.67
OUT_SHARE_65_PLUS,top,4,Texas,TX,0.046569,4.66
OUT_SHARE_65_PLUS,top,5,Illinois,IL,0.040582,4.06
OUT_SHARE_65_PLUS,bottom,50,Vermont,VT,0.002028,0.2
OUT_SHARE_65_PLUS,bottom,49,Wyoming,WY,0.002464,0.25
OUT_SHARE_65_PLUS,bottom,48,North Dakota,ND,0.002862,0.29
OUT_SHARE_65_PLUS,bottom,47,Delaware,DE,0.004207,0.42
OUT_SHARE_65_PLUS,bottom,46,Mississippi,MS,0.004296,0.43
OUT_SHARE_ALL_AGES,top,1,California,CA,0.092813,9.28
OUT_SHARE_ALL_AGES,top,2,Florida,FL,0.070244,7.02
OUT_SHARE_ALL_AGES,top,3,Texas,TX,0.06557,6.56
OUT_SHARE_ALL_AGES,top,4,New York,NY,0.059936,5.99
OUT_SHARE_ALL_AGES,top,5,Illinois,IL,0.040995,4.1
OUT_SHARE_ALL_AGES,bottom,50,Vermont,VT,0.002311,0.23
OUT_SHARE_ALL_AGES,bottom,49,Wyoming,WY,0.002781,0.28
OUT_SHARE_ALL_AGES,bottom,48,North Dakota,ND,0.002913,0.29
OUT_SHARE_ALL_AGES,bottom,47,Maine,ME,0.004112,0.41
OUT_SHARE_ALL_AGES,bottom,46,South Dakota,SD,0.00417,0.42
