variable,mean,std,min,p25,median,p75,max,cv
IN_SHARE_18_24,0.02,0.015138,0.003976,0.007975,0.015157,0.027896,0.066396,0.756907
IN_SHARE_25_34,0.02,0.017984,0.002529,0.00707,0.014572,0.02863,0.083581,0.899199
IN_SHARE_35_54,0.02,0.018219,0.003143,0.00712,0.015087,0.025398,0.087952,0.910951
IN_SHARE_55_64,0.02,0.021468,0.002379,0.008133,0.013804,0.023349,0.136167,1.07338
IN_SHARE_65_PLUS,0.02,0.022779,0.001599,0.00733,0.014284,0.023775,0.146943,1.138943
OUT_SHARE_18_24,0.02,0.017291,0.002929,0.007069,0.015334,0.027062,0.083942,0.864542
OUT_SHARE_25_34,0.02,0.018984,0.002299,0.006992,0.01321,0.02633,0.091056,0.949223
OUT_SHARE_35_54,0.02,0.020656,0.001786,0.007637,0.012994,0.022945,0.10133,1.032824
OUT_SHARE_55_64,0.02,0.020051,0.001544,0.006595,0.013551,0.028836,0.100375,1.002531
OUT_SHARE_65_PLUS,0.02,0.020427,0.002028,0.00625,0.014447,0.026461,0.101775,1.021336
IN_SHARE_ALL_AGES,0.02,0.017179,0.003431,0.007361,0.015525,0.026828,0.080286,0.858974
OUT_SHARE_ALL_AGES,0.02,0.01889,0.002311,0.00716,0.01293,0.026998,0.092813,0.944518
