model_id,dv,ivs,n_ivs,adj_r2,aic,bic,max_vif,f_stat,f_p,max_cooks_d,n_influential
M18_3IV_COMMUTE_MED+VACANCY_RATE+TRANSIT_SHARE,REL_IN_18_24,COMMUTE_MED + VACANCY_RATE + TRANSIT_SHARE,3,0.4154,-27.22,-19.57,1.9,12.6084,4e-06,0.1728,4
M18_3IV_COMMUTE_MED+NRI_RISK_INDEX+TRANSIT_SHARE,REL_IN_18_24,COMMUTE_MED + NRI_RISK_INDEX + TRANSIT_SHARE,3,0.4,-25.92,-18.27,2.24,11.8899,7e-06,0.925,5
M18_3IV_COMMUTE_MED+MED_RENT+VACANCY_RATE,REL_IN_18_24,COMMUTE_MED + MED_RENT + VACANCY_RATE,3,0.3973,-25.69,-18.05,1.7,11.7665,8e-06,0.1532,6
M18_3IV_COMMUTE_MED+MED_RENT+BA_PLUS,REL_IN_18_24,COMMUTE_MED + MED_RENT + BA_PLUS,3,0.3776,-24.09,-16.44,2.55,10.9109,1.6e-05,0.1959,5
M18_2IV_COMMUTE_MED+VACANCY_RATE,REL_IN_18_24,COMMUTE_MED + VACANCY_RATE,2,0.3769,-24.95,-19.22,1.0,15.8183,6e-06,0.2234,5
M18_3IV_COMMUTE_MED+NRI_RISK_INDEX+VACANCY_RATE,REL_IN_18_24,COMMUTE_MED + NRI_RISK_INDEX + VACANCY_RATE,3,0.3752,-23.89,-16.24,1.95,10.8079,1.7e-05,0.1618,5
M18_3IV_COMMUTE_MED+VACANCY_RATE+POP_DENS,REL_IN_18_24,COMMUTE_MED + VACANCY_RATE + POP_DENS,3,0.3737,-23.78,-16.13,1.73,10.7473,1.8e-05,0.9527,6
M18_3IV_MED_RENT+VACANCY_RATE+BA_PLUS,REL_IN_18_24,MED_RENT + VACANCY_RATE + BA_PLUS,3,0.3679,-23.32,-15.67,2.92,10.5085,2.2e-05,0.1625,5
M18_3IV_COMMUTE_MED+PERMITS+VACANCY_RATE,REL_IN_18_24,COMMUTE_MED + PERMITS + VACANCY_RATE,3,0.3646,-23.05,-15.41,1.45,10.3731,2.5e-05,0.1646,5
M18_3IV_COMMUTE_MED+VACANCY_RATE+BA_PLUS,REL_IN_18_24,COMMUTE_MED + VACANCY_RATE + BA_PLUS,3,0.3645,-23.05,-15.4,1.78,10.3691,2.5e-05,0.1937,4
M18_3IV_COMMUTE_MED+VACANCY_RATE+PRIV_AVG_PAY,REL_IN_18_24,COMMUTE_MED + VACANCY_RATE + PRIV_AVG_PAY,3,0.3633,-22.95,-15.3,1.88,10.3212,2.6e-05,0.1833,4
M18_3IV_COMMUTE_MED+TRANSIT_SHARE+POP_DENS,REL_IN_18_24,COMMUTE_MED + TRANSIT_SHARE + POP_DENS,3,0.3619,-22.84,-15.19,1.92,10.2645,2.7e-05,1.1594,4
M18_3IV_COMMUTE_MED+BA_PLUS+TRANSIT_SHARE,REL_IN_18_24,COMMUTE_MED + BA_PLUS + TRANSIT_SHARE,3,0.3618,-22.83,-15.19,1.67,10.2603,2.7e-05,0.1414,4
M18_3IV_COMMUTE_MED+MED_RENT+TRANSIT_SHARE,REL_IN_18_24,COMMUTE_MED + MED_RENT + TRANSIT_SHARE,3,0.3616,-22.82,-15.17,2.11,10.2511,2.8e-05,1.3508,4
M18_2IV_MED_RENT+VACANCY_RATE,REL_IN_18_24,MED_RENT + VACANCY_RATE,2,0.3528,-23.06,-17.32,1.0,14.3545,1.4e-05,0.1407,5
M18_3IV_COMMUTE_MED+PERMITS+TRANSIT_SHARE,REL_IN_18_24,COMMUTE_MED + PERMITS + TRANSIT_SHARE,3,0.3519,-22.06,-14.41,1.9,9.8676,3.9e-05,0.1166,4
M18_3IV_NRI_RISK_INDEX+MED_RENT+VACANCY_RATE,REL_IN_18_24,NRI_RISK_INDEX + MED_RENT + VACANCY_RATE,3,0.3499,-21.9,-14.26,2.27,9.7891,4.1e-05,0.1194,2
M18_2IV_COMMUTE_MED+TRANSIT_SHARE,REL_IN_18_24,COMMUTE_MED + TRANSIT_SHARE,2,0.3487,-22.74,-17.01,1.54,14.1182,1.6e-05,0.3709,3
M18_3IV_MED_RENT+VACANCY_RATE+TRANSIT_SHARE,REL_IN_18_24,MED_RENT + VACANCY_RATE + TRANSIT_SHARE,3,0.3437,-21.44,-13.79,1.37,9.5549,5.1e-05,0.1804,3
M18_3IV_MED_RENT+VACANCY_RATE+PRIV_AVG_PAY,REL_IN_18_24,MED_RENT + VACANCY_RATE + PRIV_AVG_PAY,3,0.3418,-21.29,-13.64,2.64,9.482,5.5e-05,0.2315,6
M18_3IV_MED_RENT+PERMITS+VACANCY_RATE,REL_IN_18_24,MED_RENT + PERMITS + VACANCY_RATE,3,0.3397,-21.13,-13.49,1.5,9.4047,5.8e-05,0.1337,6
M18_3IV_MED_RENT+VACANCY_RATE+POP_DENS,REL_IN_18_24,MED_RENT + VACANCY_RATE + POP_DENS,3,0.3391,-21.09,-13.44,1.31,9.3814,6e-05,0.6902,6
M18_3IV_COMMUTE_MED+TRANSIT_SHARE+PRIV_AVG_PAY,REL_IN_18_24,COMMUTE_MED + TRANSIT_SHARE + PRIV_AVG_PAY,3,0.3346,-20.74,-13.1,1.95,9.2127,6.9e-05,0.3849,3
M18_3IV_MED_RENT+PERMITS+BA_PLUS,REL_IN_18_24,MED_RENT + PERMITS + BA_PLUS,3,0.3135,-19.18,-11.53,2.27,8.4572,0.000139,0.2229,3
M18_3IV_NRI_RISK_INDEX+MED_RENT+BA_PLUS,REL_IN_18_24,NRI_RISK_INDEX + MED_RENT + BA_PLUS,3,0.3132,-19.16,-11.51,3.79,8.4481,0.00014,0.1707,4
M18_3IV_COMMUTE_MED+NRI_RISK_INDEX+PRIV_AVG_PAY,REL_IN_18_24,COMMUTE_MED + NRI_RISK_INDEX + PRIV_AVG_PAY,3,0.3128,-19.13,-11.48,1.99,8.4341,0.000142,0.1747,3
