age_group,model_type,term,coef,std_err,t_stat,p_value,ci_lower,ci_upper,sign,baseline_sign,sign_match_vs_baseline,abs_coef,coef_rank
18_24,baseline_ols,COMMUTE_MED,-2.786161,0.823465,-3.383,0.0015,-4.442759,-1.129562,-,-,True,2.786161,1
18_24,baseline_ols,MED_HOMEVAL,9e-06,2e-05,0.442,0.6607,-3.1e-05,4.9e-05,+,+,True,9e-06,2
18_24,weighted_wls,COMMUTE_MED,-1.694896,0.696952,-2.432,0.0189,-3.096982,-0.29281,-,-,True,1.694896,1
18_24,weighted_wls,MED_HOMEVAL,-1.6e-05,1.2e-05,-1.325,0.1915,-4e-05,8e-06,-,+,False,1.6e-05,2
18_24,exclude_smallest_ols,COMMUTE_MED,-1.611794,0.817665,-1.971,0.0562,-3.26854,0.044952,-,-,True,1.611794,1
18_24,exclude_smallest_ols,MED_HOMEVAL,-2.5e-05,1.8e-05,-1.421,0.1638,-6.1e-05,1.1e-05,-,+,False,2.5e-05,2
25_34,baseline_ols,NRI_RISK_INDEX,0.072423,0.113298,0.639,0.5258,-0.155504,0.30035,+,+,True,0.072423,2
25_34,baseline_ols,TRANSIT_SHARE,-0.447234,0.379121,-1.18,0.2441,-1.209928,0.31546,-,-,True,0.447234,1
25_34,weighted_wls,NRI_RISK_INDEX,-0.034626,0.092887,-0.373,0.711,-0.22149,0.152238,-,+,False,0.034626,2
25_34,weighted_wls,TRANSIT_SHARE,-0.406021,0.165312,-2.456,0.0178,-0.738585,-0.073457,-,-,True,0.406021,1
25_34,exclude_smallest_ols,NRI_RISK_INDEX,0.165422,0.11243,1.471,0.1497,-0.062383,0.393228,+,+,True,0.165422,2
25_34,exclude_smallest_ols,TRANSIT_SHARE,-0.572802,0.280702,-2.041,0.0485,-1.141559,-0.004045,-,-,True,0.572802,1
35_54,baseline_ols,REAL_PCPI,-0.000187,0.000145,-1.286,0.2046,-0.000479,0.000105,-,-,True,0.000187,1
35_54,baseline_ols,PERMITS,-1.1e-05,2.1e-05,-0.514,0.6095,-5.2e-05,3.1e-05,-,-,True,1.1e-05,2
35_54,weighted_wls,REAL_PCPI,-0.000589,0.00014,-4.212,0.0001,-0.00087,-0.000308,-,-,True,0.000589,1
35_54,weighted_wls,PERMITS,1e-06,1e-05,0.108,0.9147,-1.8e-05,2e-05,+,-,False,1e-06,2
35_54,exclude_smallest_ols,REAL_PCPI,-0.000369,0.000139,-2.655,0.0116,-0.000651,-8.7e-05,-,-,True,0.000369,1
35_54,exclude_smallest_ols,PERMITS,4e-06,1.7e-05,0.229,0.82,-3.1e-05,3.9e-05,+,-,False,4e-06,2
55_64,baseline_ols,NRI_RISK_INDEX,-0.024877,0.079337,-0.314,0.7552,-0.184483,0.134729,-,-,True,0.024877,2
55_64,baseline_ols,ELEC_PRICE_TOT,-0.236015,0.170425,-1.385,0.1726,-0.578866,0.106836,-,-,True,0.236015,1
55_64,weighted_wls,NRI_RISK_INDEX,0.054333,0.086438,0.629,0.5327,-0.119558,0.228224,+,-,False,0.054333,2
55_64,weighted_wls,ELEC_PRICE_TOT,-0.567112,0.150029,-3.78,0.0004,-0.868932,-0.265291,-,-,True,0.567112,1
55_64,exclude_smallest_ols,NRI_RISK_INDEX,0.025443,0.094587,0.269,0.7894,-0.166208,0.217094,+,-,False,0.025443,2
55_64,exclude_smallest_ols,ELEC_PRICE_TOT,-0.480373,0.217632,-2.207,0.0336,-0.921338,-0.039408,-,-,True,0.480373,1
65_PLUS,baseline_ols,UNINSURED,0.287449,0.282035,1.019,0.3133,-0.279932,0.854829,+,+,True,0.287449,1
65_PLUS,baseline_ols,RPP,-0.142742,0.10843,-1.316,0.1944,-0.360874,0.075391,-,-,True,0.142742,2
65_PLUS,weighted_wls,UNINSURED,0.514944,0.159984,3.219,0.0023,0.193097,0.836791,+,+,True,0.514944,1
65_PLUS,weighted_wls,RPP,-0.172482,0.074713,-2.309,0.0254,-0.322784,-0.022179,-,-,True,0.172482,2
65_PLUS,exclude_smallest_ols,UNINSURED,0.680447,0.247502,2.749,0.0092,0.178961,1.181934,+,+,True,0.680447,1
65_PLUS,exclude_smallest_ols,RPP,-0.102846,0.09413,-1.093,0.2816,-0.293571,0.087879,-,-,True,0.102846,2
