dv,iv,n,spearman_rho,spearman_p,kendall_tau,kendall_p,abs_spearman_rho
DIFF_IN_18_24,UNINSURED,50,-0.4237,0.002167,-0.2961,0.002518,0.4237
DIFF_IN_18_24,VACANCY_RATE,50,-0.3961,0.004405,-0.2833,0.003701,0.3961
DIFF_IN_18_24,MED_RENT,50,-0.3383,0.016262,-0.2156,0.027216,0.3383
DIFF_IN_18_24,COST_BURDEN_ALL,50,-0.3319,0.018552,-0.2278,0.019606,0.3319
DIFF_IN_18_24,NRI_RISK_INDEX,50,-0.2944,0.037954,-0.1853,0.057588,0.2944
DIFF_IN_18_24,COMMUTE_MED,50,-0.294,0.038217,-0.218,0.025521,0.294
DIFF_IN_18_24,PERMITS,50,-0.2195,0.125632,-0.1527,0.117764,0.2195
DIFF_IN_18_24,MED_HOMEVAL,50,-0.2166,0.130877,-0.1209,0.2157,0.2166
DIFF_IN_18_24,RPP,50,-0.2097,0.14385,-0.1282,0.189088,0.2097
DIFF_IN_18_24,REAL_PCPI,50,0.1687,0.241569,0.1037,0.288083,0.1687
DIFF_IN_18_24,UNEMP,50,-0.1677,0.244382,-0.1108,0.26466,0.1677
DIFF_IN_18_24,CRIME_VIOLENT_RATE,50,-0.1572,0.275544,-0.0768,0.431678,0.1572
DIFF_IN_18_24,LAND_AREA,50,-0.1564,0.278088,-0.1069,0.273168,0.1564
DIFF_IN_18_24,PRIV_AVG_PAY,50,-0.1302,0.36755,-0.0645,0.508725,0.1302
DIFF_IN_18_24,POP,50,-0.1031,0.476173,-0.0694,0.477076,0.1031
DIFF_IN_18_24,GDP,50,-0.1016,0.482806,-0.0678,0.487505,0.1016
DIFF_IN_18_24,PRIV_ESTAB,50,-0.0944,0.514536,-0.0661,0.498055,0.0944
DIFF_IN_18_24,PRIV_EMP,50,-0.0791,0.585103,-0.0563,0.563821,0.0791
DIFF_IN_18_24,TRANSIT_SHARE,50,0.0525,0.717361,0.04,0.681895,0.0525
DIFF_IN_18_24,ELEC_PRICE_TOT,50,-0.0447,0.75786,-0.0188,0.847425,0.0447
DIFF_IN_18_24,BA_PLUS,50,0.0386,0.790348,0.0449,0.645468,0.0386
