dv,iv,n,coef,std_err,t_value,p_value,r_squared,adj_r_squared,sign
DIFF_IN_18_24,PERMITS,50,-8.26e-08,1.55e-08,-5.3195,3e-06,0.3709,0.3578,-
DIFF_IN_18_24,UNINSURED,50,-0.0011159005,0.0002712578,-4.1138,0.000152,0.2607,0.2453,-
DIFF_IN_18_24,VACANCY_RATE,50,-0.0017033989,0.0004626766,-3.6816,0.000587,0.2202,0.204,-
DIFF_IN_18_24,COST_BURDEN_ALL,50,-0.0004584836,0.0001652708,-2.7741,0.007861,0.1382,0.1202,-
DIFF_IN_18_24,MED_RENT,50,-5.7545e-06,2.4717e-06,-2.3282,0.024165,0.1015,0.0827,-
DIFF_IN_18_24,POP,50,-2e-10,1e-10,-2.1472,0.036855,0.0876,0.0686,-
DIFF_IN_18_24,PRIV_ESTAB,50,-5e-09,2.7e-09,-1.8853,0.065445,0.0689,0.0495,-
DIFF_IN_18_24,PRIV_EMP,50,-5e-10,3e-10,-1.8492,0.070594,0.0665,0.0471,-
DIFF_IN_18_24,NRI_RISK_INDEX,50,-0.0001118505,6.26415e-05,-1.7856,0.080488,0.0623,0.0427,-
DIFF_IN_18_24,TRANSIT_SHARE,50,0.0003568634,0.0002102438,1.6974,0.096101,0.0566,0.037,+
DIFF_IN_18_24,COMMUTE_MED,50,-0.0003526102,0.0002283674,-1.544,0.129145,0.0473,0.0275,-
DIFF_IN_18_24,GDP,50,-1.8e-09,1.3e-09,-1.338,0.187207,0.036,0.0159,-
DIFF_IN_18_24,RPP,50,-0.0001408484,0.0001195695,-1.178,0.244619,0.0281,0.0078,-
DIFF_IN_18_24,REAL_PCPI,50,1.547e-07,1.357e-07,1.1398,0.260032,0.0264,0.0061,+
DIFF_IN_18_24,LAND_AREA,50,-6.8e-09,9.4e-09,-0.7248,0.472117,0.0108,-0.0098,-
DIFF_IN_18_24,ELEC_PRICE_TOT,50,9.06698e-05,0.0001383404,0.6554,0.515332,0.0089,-0.0118,+
DIFF_IN_18_24,POP_DENS,50,-1.6708e-06,2.895e-06,-0.5771,0.566548,0.0069,-0.0138,-
DIFF_IN_18_24,MED_HOMEVAL,50,-3.2e-09,5.6e-09,-0.577,0.566647,0.0069,-0.0138,-
DIFF_IN_18_24,UNEMP,50,-0.0005565452,0.0010175361,-0.547,0.586944,0.0062,-0.0145,-
DIFF_IN_18_24,BA_PLUS,50,5.64609e-05,0.0001481862,0.381,0.704875,0.003,-0.0178,+
DIFF_IN_18_24,CRIME_VIOLENT_RATE,50,-1.8547e-06,5.8267e-06,-0.3183,0.751629,0.0021,-0.0187,-
DIFF_IN_18_24,PRIV_AVG_PAY,50,1.5e-08,7.48e-08,0.2008,0.841734,0.0008,-0.02,+
DIFF_IN_25_34,PRIV_AVG_PAY,50,2.126e-07,4.56e-08,4.6624,2.5e-05,0.3117,0.2974,+
DIFF_IN_25_34,TRANSIT_SHARE,50,0.0005744762,0.0001356166,4.236,0.000102,0.2721,0.2569,+
DIFF_IN_25_34,GDP,50,3.2e-09,9e-10,3.5452,0.000887,0.2075,0.191,+
DIFF_IN_25_34,RPP,50,0.0002247775,8.29457e-05,2.7099,0.009304,0.1327,0.1146,+
DIFF_IN_25_34,VACANCY_RATE,50,-0.0009528996,0.0003593327,-2.6519,0.010816,0.1278,0.1096,-
DIFF_IN_25_34,BA_PLUS,50,0.0002663297,0.0001019792,2.6116,0.011992,0.1244,0.1062,+
DIFF_IN_25_34,PRIV_EMP,50,5e-10,2e-10,2.6019,0.012293,0.1236,0.1053,+
DIFF_IN_25_34,MED_HOMEVAL,50,9.6e-09,3.9e-09,2.4715,0.017054,0.1129,0.0944,+
DIFF_IN_25_34,POP,50,2e-10,1e-10,2.3799,0.021337,0.1055,0.0869,+
DIFF_IN_25_34,PRIV_ESTAB,50,4.5e-09,1.9e-09,2.3529,0.022775,0.1034,0.0847,+
DIFF_IN_25_34,UNEMP,50,0.0016141987,0.0007124143,2.2658,0.028011,0.0966,0.0778,+
DIFF_IN_25_34,REAL_PCPI,50,2.168e-07,9.6e-08,2.2574,0.028572,0.096,0.0771,+
DIFF_IN_25_34,ELEC_PRICE_TOT,50,0.000203882,9.77075e-05,2.0867,0.042255,0.0832,0.0641,+
DIFF_IN_25_34,COMMUTE_MED,50,0.0003393957,0.0001646826,2.0609,0.044752,0.0813,0.0622,+
DIFF_IN_25_34,MED_RENT,50,3.6728e-06,1.84e-06,1.9961,0.051616,0.0766,0.0574,+
DIFF_IN_25_34,COST_BURDEN_ALL,50,0.000229216,0.0001264776,1.8123,0.076196,0.064,0.0445,+
DIFF_IN_25_34,POP_DENS,50,2.5305e-06,2.1018e-06,1.204,0.234501,0.0293,0.0091,+
DIFF_IN_25_34,UNINSURED,50,-0.0002639049,0.0002285123,-1.1549,0.253856,0.027,0.0068,-
DIFF_IN_25_34,NRI_RISK_INDEX,50,5.23241e-05,4.68993e-05,1.1157,0.270119,0.0253,0.005,+
DIFF_IN_25_34,LAND_AREA,50,7.3e-09,6.9e-09,1.0642,0.292544,0.0231,0.0027,+
DIFF_IN_25_34,CRIME_VIOLENT_RATE,50,4.4839e-06,4.2341e-06,1.059,0.294902,0.0228,0.0025,+
DIFF_IN_25_34,PERMITS,50,-1e-09,1.44e-08,-0.0705,0.944084,0.0001,-0.0207,-
DIFF_IN_35_54,UNINSURED,50,0.0008385781,0.0001576184,5.3203,3e-06,0.371,0.3578,+
DIFF_IN_35_54,VACANCY_RATE,50,0.0010560559,0.0002927508,3.6074,0.000735,0.2133,0.1969,+
DIFF_IN_35_54,TRANSIT_SHARE,50,-0.0004053866,0.0001231666,-3.2914,0.001874,0.1841,0.1671,-
DIFF_IN_35_54,PERMITS,50,3.46e-08,1.13e-08,3.0661,0.003556,0.1638,0.1464,+
DIFF_IN_35_54,ELEC_PRICE_TOT,50,-0.0001580971,8.45093e-05,-1.8708,0.067481,0.068,0.0485,-
DIFF_IN_35_54,BA_PLUS,50,-0.000135154,9.14323e-05,-1.4782,0.14589,0.0435,0.0236,-
DIFF_IN_35_54,REAL_PCPI,50,-1.244e-07,8.48e-08,-1.4677,0.148704,0.043,0.023,-
DIFF_IN_35_54,PRIV_AVG_PAY,50,-6.39e-08,4.62e-08,-1.3824,0.173255,0.0383,0.0183,-
DIFF_IN_35_54,LAND_AREA,50,7.1e-09,5.9e-09,1.202,0.235266,0.0292,0.009,+
DIFF_IN_35_54,RPP,50,-6.859e-05,7.5759e-05,-0.9054,0.369791,0.0168,-0.0037,-
DIFF_IN_35_54,MED_HOMEVAL,50,-2.7e-09,3.5e-09,-0.7767,0.441159,0.0124,-0.0082,-
DIFF_IN_35_54,POP_DENS,50,-1.0326e-06,1.8239e-06,-0.5661,0.573942,0.0066,-0.0141,-
DIFF_IN_35_54,POP,50,0.0,1e-10,0.5406,0.591287,0.0061,-0.0147,+
DIFF_IN_35_54,COST_BURDEN_ALL,50,4.7085e-05,0.0001119413,0.4206,0.675908,0.0037,-0.0171,+
DIFF_IN_35_54,UNEMP,50,0.0002099281,0.0006422716,0.3269,0.7452,0.0022,-0.0186,+
DIFF_IN_35_54,PRIV_EMP,50,0.0,2e-10,0.2679,0.789944,0.0015,-0.0193,+
DIFF_IN_35_54,COMMUTE_MED,50,-2.35536e-05,0.000147349,-0.1598,0.87367,0.0005,-0.0203,-
DIFF_IN_35_54,MED_RENT,50,2.433e-07,1.6422e-06,0.1481,0.882858,0.0005,-0.0204,+
DIFF_IN_35_54,PRIV_ESTAB,50,-2e-10,1.7e-09,-0.1087,0.913866,0.0002,-0.0206,-
DIFF_IN_35_54,GDP,50,-0.0,9e-10,-0.0555,0.955961,0.0001,-0.0208,-
DIFF_IN_35_54,CRIME_VIOLENT_RATE,50,-1.3e-07,3.6743e-06,-0.0354,0.971912,0.0,-0.0208,-
DIFF_IN_35_54,NRI_RISK_INDEX,50,1.3843e-06,4.07496e-05,0.034,0.973041,0.0,-0.0208,+
DIFF_IN_55_64,VACANCY_RATE,50,0.0026989525,0.0008113285,3.3266,0.001692,0.1874,0.1704,+
DIFF_IN_55_64,PRIV_AVG_PAY,50,-2.922e-07,1.215e-07,-2.4056,0.020046,0.1076,0.089,-
DIFF_IN_55_64,TRANSIT_SHARE,50,-0.0007955143,0.0003536531,-2.2494,0.029109,0.0954,0.0765,-
DIFF_IN_55_64,UNINSURED,50,0.0011154539,0.0005174332,2.1557,0.036146,0.0883,0.0693,+
DIFF_IN_55_64,PERMITS,50,6.88e-08,3.21e-08,2.1416,0.037328,0.0872,0.0682,+
DIFF_IN_55_64,REAL_PCPI,50,-4.055e-07,2.289e-07,-1.7718,0.08278,0.0614,0.0418,-
DIFF_IN_55_64,BA_PLUS,50,-0.0003622339,0.000249512,-1.4518,0.153071,0.0421,0.0221,-
DIFF_IN_55_64,UNEMP,50,-0.0023601467,0.0017198958,-1.3723,0.176361,0.0378,0.0177,-
DIFF_IN_55_64,GDP,50,-3e-09,2.3e-09,-1.2864,0.204488,0.0333,0.0132,-
DIFF_IN_55_64,MED_HOMEVAL,50,-1.13e-08,9.6e-09,-1.1805,0.243623,0.0282,0.008,-
