direction,age_group,state,state_name,abbrev,rank_age_specific,rank_all_ages,rank_shift,share_age,share_all,rel_ratio
IN,18_24,01,Alabama,AL,23,25,2,0.017451,0.016206,1.0768
IN,18_24,02,Alaska,AK,48,46,-2,0.004611,0.004279,1.0777
IN,18_24,04,Arizona,AZ,12,9,-3,0.028541,0.033327,0.8564
IN,18_24,05,Arkansas,AR,33,36,3,0.010543,0.008614,1.2239
IN,18_24,06,California,CA,2,3,1,0.05908,0.058687,1.0067
IN,18_24,08,Colorado,CO,16,15,-1,0.025348,0.026382,0.9608
IN,18_24,09,Connecticut,CT,30,30,0,0.013021,0.011976,1.0873
IN,18_24,10,Delaware,DE,47,45,-2,0.004933,0.005014,0.9839
IN,18_24,12,Florida,FL,4,1,-3,0.051675,0.080286,0.6436
IN,18_24,13,Georgia,GA,14,7,-7,0.026953,0.035212,0.7655
IN,18_24,15,Hawaii,HI,38,38,0,0.00792,0.00723,1.0955
IN,18_24,16,Idaho,ID,32,32,0,0.011228,0.010419,1.0777
IN,18_24,17,Illinois,IL,8,11,3,0.035356,0.028987,1.2197
IN,18_24,18,Indiana,IN,19,21,2,0.022742,0.018558,1.2254
IN,18_24,19,Iowa,IA,29,35,6,0.013166,0.008719,1.5101
IN,18_24,20,Kansas,KS,28,31,3,0.013506,0.011803,1.1443
IN,18_24,21,Kentucky,KY,31,29,-2,0.012867,0.013196,0.9751
IN,18_24,22,Louisiana,LA,34,33,-1,0.010174,0.009635,1.056
IN,18_24,23,Maine,ME,49,43,-6,0.004376,0.005353,0.8175
IN,18_24,24,Maryland,MD,22,17,-5,0.019213,0.022764,0.844
IN,18_24,25,Massachusetts,MA,9,16,7,0.030061,0.022765,1.3205
IN,18_24,26,Michigan,MI,20,20,0,0.019642,0.018937,1.0372
IN,18_24,27,Minnesota,MN,24,26,2,0.016326,0.014845,1.0998
IN,18_24,28,Mississippi,MS,36,34,-2,0.008716,0.008836,0.9863
IN,18_24,29,Missouri,MO,17,19,2,0.023261,0.019877,1.1702
IN,18_24,30,Montana,MT,40,42,2,0.007285,0.005381,1.354
IN,18_24,31,Nebraska,NE,37,40,3,0.008139,0.00668,1.2185
IN,18_24,32,Nevada,NV,35,22,-13,0.009021,0.018174,0.4964
IN,18_24,33,New Hampshire,NH,44,39,-5,0.005824,0.006919,0.8418
IN,18_24,34,New Jersey,NJ,27,18,-9,0.014415,0.021342,0.6754
IN,18_24,35,New Mexico,NM,43,37,-6,0.00609,0.007755,0.7852
IN,18_24,36,New York,NY,3,4,1,0.053197,0.042999,1.2372
IN,18_24,37,North Carolina,NC,6,5,-1,0.039289,0.04158,0.9449
IN,18_24,38,North Dakota,ND,42,47,5,0.006371,0.003987,1.5978
IN,18_24,39,Ohio,OH,10,12,2,0.030003,0.028056,1.0694
IN,18_24,40,Oklahoma,OK,26,27,1,0.014714,0.014082,1.0449
IN,18_24,41,Oregon,OR,25,23,-2,0.015599,0.017645,0.884
IN,18_24,42,Pennsylvania,PA,5,8,3,0.039433,0.03392,1.1625
IN,18_24,44,Rhode Island,RI,39,44,5,0.007558,0.005312,1.4228
IN,18_24,45,South Carolina,SC,13,14,1,0.028211,0.026448,1.0666
IN,18_24,46,South Dakota,SD,50,50,0,0.003976,0.003431,1.1588
IN,18_24,47,Tennessee,TN,15,13,-2,0.025601,0.026954,0.9498
IN,18_24,48,Texas,TX,1,2,1,0.066396,0.075654,0.8776
