variable,rank_type,rank,state_name,abbrev,value
REL_IN_18_24,top,1,North Dakota,ND,1.597837
REL_IN_18_24,top,2,Iowa,IA,1.510135
REL_IN_18_24,top,3,Vermont,VT,1.488439
REL_IN_18_24,top,4,Utah,UT,1.470547
REL_IN_18_24,top,5,Rhode Island,RI,1.422777
REL_IN_18_24,bottom,50,Nevada,NV,0.496379
REL_IN_18_24,bottom,49,Florida,FL,0.643635
REL_IN_18_24,bottom,48,New Jersey,NJ,0.675442
REL_IN_18_24,bottom,47,Georgia,GA,0.765456
REL_IN_18_24,bottom,46,New Mexico,NM,0.785225
REL_IN_25_34,top,1,New York,NY,1.26693
REL_IN_25_34,top,2,Alaska,AK,1.266404
REL_IN_25_34,top,3,Maryland,MD,1.197234
REL_IN_25_34,top,4,Rhode Island,RI,1.193749
REL_IN_25_34,top,5,New Jersey,NJ,1.189613
REL_IN_25_34,bottom,50,North Dakota,ND,0.634401
REL_IN_25_34,bottom,49,Arkansas,AR,0.637029
REL_IN_25_34,bottom,48,Vermont,VT,0.711422
REL_IN_25_34,bottom,47,West Virginia,WV,0.749821
REL_IN_25_34,bottom,46,South Dakota,SD,0.763929
REL_IN_35_54,top,1,Nevada,NV,1.38544
REL_IN_35_54,top,2,Georgia,GA,1.298745
REL_IN_35_54,top,3,Louisiana,LA,1.249687
REL_IN_35_54,top,4,Texas,TX,1.16255
REL_IN_35_54,top,5,New Jersey,NJ,1.160435
REL_IN_35_54,bottom,50,Rhode Island,RI,0.731328
REL_IN_35_54,bottom,49,Wisconsin,WI,0.741272
REL_IN_35_54,bottom,48,New York,NY,0.744689
REL_IN_35_54,bottom,47,Massachusetts,MA,0.757601
REL_IN_35_54,bottom,46,Iowa,IA,0.786292
REL_IN_55_64,top,1,Florida,FL,1.696015
REL_IN_55_64,top,2,Delaware,DE,1.437299
REL_IN_55_64,top,3,Arizona,AZ,1.385982
REL_IN_55_64,top,4,New Hampshire,NH,1.345999
REL_IN_55_64,top,5,Tennessee,TN,1.326785
REL_IN_55_64,bottom,50,Rhode Island,RI,0.542136
REL_IN_55_64,bottom,49,Massachusetts,MA,0.559295
REL_IN_55_64,bottom,48,North Dakota,ND,0.596777
REL_IN_55_64,bottom,47,Alaska,AK,0.608365
REL_IN_55_64,bottom,46,New York,NY,0.670598
REL_IN_65_PLUS,top,1,Florida,FL,1.830234
REL_IN_65_PLUS,top,2,Arizona,AZ,1.615992
REL_IN_65_PLUS,top,3,Maine,ME,1.482528
REL_IN_65_PLUS,top,4,Oregon,OR,1.335996
REL_IN_65_PLUS,top,5,Nevada,NV,1.311853
REL_IN_65_PLUS,bottom,50,Alaska,AK,0.373728
REL_IN_65_PLUS,bottom,49,Rhode Island,RI,0.418911
REL_IN_65_PLUS,bottom,48,New York,NY,0.544333
REL_IN_65_PLUS,bottom,47,Utah,UT,0.587485
REL_IN_65_PLUS,bottom,46,Wyoming,WY,0.66658
REL_OUT_18_24,top,1,Minnesota,MN,1.395835
REL_OUT_18_24,top,2,Maine,ME,1.337584
REL_OUT_18_24,top,3,Wisconsin,WI,1.335394
REL_OUT_18_24,top,4,Utah,UT,1.302249
REL_OUT_18_24,top,5,Vermont,VT,1.267156
REL_OUT_18_24,bottom,50,Kentucky,KY,0.728081
REL_OUT_18_24,bottom,49,Florida,FL,0.735195
