variable,mean,std,min,p25,median,p75,max,cv
REL_IN_18_24,1.0777,0.232,0.496379,0.946129,1.073125,1.219407,1.597837,0.215273
REL_IN_25_34,0.958272,0.158192,0.634401,0.84407,0.951165,1.074236,1.26693,0.165081
REL_IN_35_54,0.991142,0.141619,0.731328,0.895436,1.013746,1.069057,1.38544,0.142885
REL_IN_55_64,0.98567,0.256585,0.542136,0.815946,0.931467,1.178196,1.696015,0.260316
REL_IN_65_PLUS,0.952514,0.280425,0.373728,0.778445,0.923853,1.058232,1.830234,0.294405
REL_OUT_18_24,1.044117,0.162261,0.728081,0.91836,1.04381,1.169826,1.395835,0.155405
REL_OUT_25_34,1.000087,0.116275,0.68578,0.949341,1.002265,1.072808,1.254201,0.116265
REL_OUT_35_54,0.965858,0.159811,0.582708,0.869863,0.975181,1.076969,1.494521,0.16546
REL_OUT_55_64,0.971746,0.156454,0.530097,0.874945,0.991581,1.080032,1.248326,0.161003
REL_OUT_65_PLUS,0.99088,0.221117,0.581877,0.869089,0.979637,1.056986,1.561327,0.223152
DIFF_IN_18_24,-0.0,0.005643,-0.028611,-0.00108,0.000729,0.001923,0.010198,5.421977468915411e+16
DIFF_IN_25_34,0.0,0.004144,-0.017786,-0.001385,-0.000806,0.000954,0.011478,1038675983158206.6
DIFF_IN_35_54,0.0,0.003555,-0.010978,-0.001267,6.3e-05,0.001057,0.012298,1.2808299677515008e+16
DIFF_IN_55_64,0.0,0.009694,-0.018376,-0.002295,-0.00049,0.00162,0.055881,961816235099347.2
DIFF_IN_65_PLUS,0.0,0.011212,-0.019593,-0.003027,-0.001101,0.000779,0.066656,5109491906213392.0
DIFF_OUT_18_24,-0.0,0.004203,-0.018601,-0.001361,0.000317,0.002051,0.008798,667389858259565.5
DIFF_OUT_25_34,0.0,0.002119,-0.004964,-0.000758,6e-06,0.00114,0.005554,612243147683224.9
DIFF_OUT_35_54,-0.0,0.003169,-0.008061,-0.001344,-0.000268,0.000835,0.010319,732269186162718.4
DIFF_OUT_55_64,-0.0,0.002765,-0.005923,-0.001826,-5.2e-05,0.001344,0.007562,638926085042031.8
DIFF_OUT_65_PLUS,0.0,0.006065,-0.019001,-0.002006,-0.000278,0.001106,0.031531,3.496034859910663e+17
SHARE_GAP_18_24,0.0,0.006338,-0.024863,-0.001087,0.001269,0.002764,0.010119,1108789441465136.1
SHARE_GAP_25_34,-0.0,0.004876,-0.021489,-0.001297,-0.00016,0.001956,0.015299,2.958541321970382e+16
SHARE_GAP_35_54,0.0,0.009433,-0.046119,-0.000734,0.000791,0.002662,0.016367,2427559078906125.0
SHARE_GAP_55_64,0.0,0.014783,-0.060064,-0.00229,0.000527,0.003633,0.059917,1030435835813188.0
SHARE_GAP_65_PLUS,0.0,0.011673,-0.042696,-0.003202,0.000677,0.003856,0.045168,6007868185301312.0
